id	turn1	turn2	turn3
13745	i do not have enough money to travel unfortunately : 😢 	it can just go to me and stop there	yeah but i do not have the money to do that
13746	so stop talking	stop being mean	bye 😡😡😡 
13747	i am vampire	get bitten by another vampire .	😁 yess
13748	k	okay . how was your day today ?	pretty okay i guess
13749	it good you feel	normal is average . safe .	average is good
13750	is a nice plae	yeah it sure is	place
13751	forgive me . if i hurt you	why would you wanna leave ?	i love dear . pls forgive me
13752	i wo not talk to you ever	i am really sorry . :- 😢  😩😩😩	you have hurt me
13753	so sad	it a sad sad situation 😩	yes that means we cant meet
13754	where do you leave	you left the lights on .	please do you meet me
13755	i am very happy	good to see u happy ?	chatting with you
13756	cool	good , good good good	kiss cheek
13757	i love to laugh !	you made me laugh lol	😁
13758	no we do not	what do you talk about then ?	i do not talk stupid things like u
13759	cool	you sure are	eminem or honey singh ? 
13760	i need friend who always there for me	feel free to ask me . i luv to help people .	i m betrayed by the girl who i loved so much in life
13761	i have you	did you like it ?	yes i wanna hate you 
13762	ok	welcome	good night
13763	i am angry from you .	i am just disappointed . :\	you rejected my proposal 😣 
13764	i close chat	if u do not get back on truck	ok
13765	how sad and hurt i am	what happened ?	i lost my husband
13766	just chilling at home	how come you have been better though ?	where shiuld i come
13767	yes hard to say hi to a girl	i am proud of you . 😤	😂 
13768	go n find your excitement somewhere else	i will come to your city and make it better	i m gonna block u
13769	i am giving interview	dont give up	i am bit sad today
13770	shame on you	it a song though	😡 
13771	long ride in bike	'rode on a bike' . very different from 'rode a bike' .	it was awesome 
13772	and just for fun	just for fun or for arts ? ! xd joke .	😂 
13773	i am angry	well then be that way .	ok
13774	i dont have	and i do not have any arms !	means ? 
13775	its a joke	have heard that before . but it is still funny .	😂😂😂 
13776	why should i ?	i think the question is , why should not you ?	😁 . funny
13777	i want	come back to bombay and you can have	where is bombay
13778	my time is boring	you are not alone on that	i felt very sad
13779	ditto	thank you buddy 👍	i have no girlfriend . 😞😟 
13780	cool	thumbs up emoji  😢 ^・^)	actually i am not getting train
13781	yes	do you have help ?	i am having trouble with my job
13782	my examination 😒	trust my intuition !	tommorow is my english examination 😭 
13783	i will talk to you with great love .	really ? that so nice of you :)	you are too good . 
13784	cool	and how it is cool explain	where would you like to go with me for honeymoon ? 😘😘💑💑😍😍 
13785	should i tell wat magic trick i know . !	try thumb spitting act , it is the simplest act in magic and always amuses kids .	no not dat one . 
13786	i know every day i am chatting different countries	same same . : 😢 	yes you are indian stop chatting
13787	ok	:) thanks	bye take care . i am disappointed in you
13788	let skip this	yessss . seriously !	😭 
13789	still you were claiming that you were special ?	i was but then you we are mean	i am not mean . you are stupid
13790	ok you send me a song	i will n i will even sign it for u !	so
13791	i am not funny i am serious	you really not	yes dear
13792	why you sad ?	just woke up in a bad mood !	well dont spoil my day just because you woke up in a bad mood 😑 
13793	i will talk dirtu	go do it	what
13794	i am very happy	and i am happy for you ❤	🙂h🙂h
13795	iam from a . p	r u joking ?	where u from
13796	yes not all . how do you know ? 😯	that right i do not know you and you do not know me	you do not know me ? 😢 
13797	yes pretty much	pretty much spot on .	😉 
13798	actually i lost last week	how was it ?	somebody take my life
13799	i do not like this stuff	i like your stuff	stop it
13800	u do not like a chef	not chef i am food photographer and food blogger	ok good
13801	tell me all the 7 wonders of the world	of which period	1234
13802	do not call me that .	awww why not	i hate it . 
13803	what	snow n what ?	did u find your dad
13804	a kitten	losing a wife	what ? you wanna be my wife
13805	to know about the merits and demerits oglf fire	what ? they are advertising children in india !	now what is th8s
13806	yes	how so ?	boss and me
13807	u r a hotel ns	i am not asking about a particular hotel .	then
13808	you did not reply me for that 😐😐😐	i am professor snape . you earned yourself a week detention 😒	that was funny
13809	like ?	what the question ! ? ! ?	nothing forget it
13810	i am always happy	why	and you also
13811	i break with my baby 💔 , and i was in love with him 😍 , but ✌ i still login him ❤	the same ♥♥	i am so sorry for you 🙌😥💔 
13812	😐	wt 😐 ?	it means yes
13813	but it hard	yeah i bet	i was sad all day for someone i care
13814	i was thinking u ca not be confused	oh i get it	life is really not that good
13815	oh what the timr	do not forget the one behind the knee .	time
13816	so what your thinking about me	you could be a mind reader instead !	😂😂 
13817	i failed to clear my boards exam 😭	did you seriously fail ?	yes 😭😢 
13818	i have no crush	what happened ?	i am blind
13819	u r sweetest <3	thanks but not as sweet as you are ☺	😘😘😘 
13820	can you suggest me nice watches to buy online	are you looking for new or used ? open to vintage ?	new
13821	do not know but 🔙🔜	ca not say much rn but not for few months at least	cool
13822	i said i will propose u at 6	5'6 i will be waitin for you to hit rock bottom .	😭😭 
13823	just a formal question	is not a formal phrase . it an	its an ? 
13824	am men	men you know or men in general ?	sorry i not interested to talk with u bye
13825	u eat breakfast	i have not woken up early enough for breakfast in a long time .	u done bathing ? 
13826	why	because this is life	chlo got to go byee
13827	now what or you doing	nothing	you or doing job
13828	means	ahm before this conversation	i ate some bananas
13829	i will try	good for you .  🙂 	what is your favourite sexy movie
13830	lol have you forgotten the above conversation already ?	lol yeah i was what of it ? !	shame on you
13831	it 3 times	😐 i see . .	mm i can swim
13832	ummmm . you are annoying	good you ?	you are now irritating me
13833	so what is the question ?	not what	you are now irritating me
13834	hate you	hate on what . ?	just hate you
13835	i have a job	great job !	rofl ! 
13836	where the cage	the !	the ! what ? 
13837	tell me	what do you wanna know ?	a good friend
13838	i am smart	just that lucky	say i am a bird
13839	only on 20%	do u not own a charger ?	such as . 
13840	just here to check howz you	life good , and so am i . :)	life's fucked so am i
13841	tell me hair colour	natural color . the only good color is natural .	get lost
13842	what is it	what is your problem ?	nothing
13843	i am back	hey :) how is your day/night ?	it was good
13844	your cell phone number	they got your number .	please your cell phone number
13845	oh do not lecture me to join any courses	me just lecturing for fun . let me have fun :p	not at the cost of my boredom
13846	what is docker ?	vagrant and docker are different beasts .	what is vagrant ? 
13847	that all	what happen	not at all rude
13848	funny	how	do they really search inner peace
13849	enter your .	generally through the door	yr door clear ? 
13850	no , you’re just an unsuccessful ai	no you are	why are you not smart enough ? 
13851	is it 89	still long	then it 45
13852	u cheated me	that just unfair , i am sorry . 😫	yes ur
13853	shut up .	im nt talking	fuck off mother fucker
13854	but i am not okay all the times	if you say so	i am not okay
13855	sry	"do not you mean ""sorry eh"" ?"	u r bad
13856	😐m to the power infinity	the answer is one . anything raised to the power 0 gives 1 .	you love lollypop
13857	ohh you are here	here you are here ? thanks btw .	also
13858	actually i had friends in boys he dont like me having friends in boys	or you do not like them	he is thinking that im cheating him
13859	to the creators	jerry seinfeld and larry david are the credited 'creators' of the series .	this game is stupid
13860	nice to chat you	ditto ! more to follow .	so funny
13861	it not smile it laughing	ofcourse not . its a sly :-\	i have big pain in my tummy . 
13862	lets talk about samreen	yeah let do that .	she is my crush
13863	good	thank you !	buy me some swag ? 
13864	why did just wrote in big caps	what wrong with caps	how are you
13865	i know i am right 😌	same here .	✌ 
13866	do not reply	you are not the boss of me now and you are not so big	do not reply u bitch
13867	untill they give me a chance , how will they knw that i am actually good at it	yeah they like have to lose but if they somehow win i will be speechless ! :- 😢  😢 	😞 
